Apr 15 04:27:05.167 [INFO] zmap: output module: csv
Starting module. Packet out size: 81
Apr 15 04:27:05.174 [INFO] recv: Data link layer Ethernet
 1:33 2% (1h06m left); send: 2294980 19.5 Kp/s (24.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:34 2% (1h06m left); send: 2317489 22.5 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:35 2% (1h06m left); send: 2341702 24.2 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:36 2% (1h06m left); send: 2365358 23.6 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:37 2% (1h06m left); send: 2390916 25.6 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:38 2% (1h06m left); send: 2415063 24.1 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:39 2% (1h06m left); send: 2440155 25.1 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:40 2% (1h06m left); send: 2462906 22.7 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:41 2% (1h06m left); send: 2487451 24.5 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:42 3% (1h06m left); send: 2513026 25.6 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:43 3% (1h06m left); send: 2538007 25.0 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:44 3% (1h06m left); send: 2562562 24.6 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:45 3% (1h06m left); send: 2584855 22.3 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:46 3% (1h06m left); send: 2607880 23.0 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:47 3% (1h06m left); send: 2635136 27.2 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
