Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
"[TCP:options-eol:]-fragment{tcp:-1:False}(drop,drop)-|",-5000.0,3,-1666.6666666666667
[TCP:window:150]-duplicate-|,-27.638,3,-9.212666666666667
[TCP:window:50]-fragment{tcp:-1:False}-|,-17.969,3,-5.989666666666667
"[TCP:options-nop:]-tamper{TCP:load:replace:}(tamper{TCP:dport:corrupt},)-|",0.0,3,0.0
"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1.2069999999999999,3,0.40233333333333327
[TCP:options-sackok:]-tamper{TCP:dataofs:replace:13}-|,1.032,3,0.34400000000000003
[TCP:options-sackok:]-fragment{ip:-1:True:5}-|,1.653,3,0.551
[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}-|,1.587,3,0.529
[TCP:options-eol::0]-fragment{tcp:-1:False}-|,2.5530000000000004,3,0.8510000000000001
[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:15}-|,2.056,3,0.6853333333333333
[TCP:options-nop:]-tamper{TCP:reserved:replace:4}-|,4.329000000000001,3,1.4430000000000003
"[TCP:options-sackok:]-tamper{TCP:ack:corrupt}(duplicate,)-|",2.0389999999999997,3,0.6796666666666665
"[TCP:options-sack:]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|",5.02,3,1.6733333333333331
"[TCP:options-sackok:]-fragment{tcp:-1:True}(fragment{tcp:-1:True}(,duplicate),)-|",2.464,3,0.8213333333333334
"[TCP:options-sack:]-tamper{TCP:load:replace:}(fragment{tcp:-1:False},)-|",13.500000000000002,3,4.500000000000001
"[TCP:options-nop:]-tamper{TCP:load:replace:}(fragment{tcp:-1:False:5},)-|",4.5,3,1.5
"[TCP:options-nop:]-tamper{TCP:flags:replace:FA}(fragment{tcp:-1:True},)-|",48.82500000000001,3,16.275000000000002
[TCP:options-sack:]-fragment{ip:-1:True:5}-|,1.668,3,0.5559999999999999
"[TCP:options-nop:]-tamper{TCP:load:replace:}(fragment{tcp:-1:False},)-|",13.500000000000002,3,4.500000000000001
