Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 1:30 1% (2h06m left); send: 1172036 11.5 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:31 1% (2h06m left); send: 1182719 10.7 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:32 1% (2h07m left); send: 1193114 10.4 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:33 1% (2h07m left); send: 1204089 11.0 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:34 1% (2h07m left); send: 1216580 12.5 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:35 1% (2h07m left); send: 1227905 11.3 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:36 1% (2h07m left); send: 1239296 11.4 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:37 1% (2h07m left); send: 1251473 12.2 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:38 1% (2h07m left); send: 1263854 12.4 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:39 1% (2h07m left); send: 1277618 13.8 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:40 1% (2h07m left); send: 1290494 12.9 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:41 1% (2h07m left); send: 1302872 12.4 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:42 1% (2h07m left); send: 1316537 13.7 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:43 1% (2h07m left); send: 1330382 13.8 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:44 1% (2h07m left); send: 1343015 12.6 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 1:45 1% (2h07m left); send: 1356118 13.1 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:46 1% (2h07m left); send: 1369505 13.4 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:47 1% (2h07m left); send: 1384839 15.3 Kp/s (12.9 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:48 1% (2h07m left); send: 1399601 14.8 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:49 1% (2h06m left); send: 1414610 15.0 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (8 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:50 1% (2h06m left); send: 1429381 14.8 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:51 1% (2h06m left); send: 1444997 15.6 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:52 1% (2h06m left); send: 1460434 15.4 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:53 1% (2h05m left); send: 1475194 14.8 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:54 1% (2h05m left); send: 1490615 15.4 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:55 2% (2h05m left); send: 1503241 12.6 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:56 2% (2h05m left); send: 1515159 11.9 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:57 2% (2h05m left); send: 1528855 13.7 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:58 2% (2h05m left); send: 1542671 13.8 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 1:59 2% (2h05m left); send: 1556343 13.7 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 2:00 2% (2h05m left); send: 1570389 14.0 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 2:01 2% (2h05m left); send: 1584917 14.5 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.06%
 2:02 2% (2h05m left); send: 1599605 14.7 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (7 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
